Série,Album,Auteur,Commentaire,Lieu,Année,Fichier
Open museum zep,carte postale,Zep,Signature lors de la conférence d'inauguration de l'open museum de Zep aux palais des Beaux-arts de Lille.,Lille,18/03/2016,open_museum_zep.jpg
Rubine,Les mémoires troubles,Dragan De Lazare,,Lyz-les-Lannoy,10/11/2018,rubine_les_memoires_troubles.jpg
Soda,Résurrection,Dan Verlinden,,Fort-Mardyck,05/04/2025,soda_resurrection.jpg
Spirou classique,La baie des cochons,Elric Dufau,,Bruxelles,07/09/2024,spirou_classique_la_baie_des_cochons.jpg
Spirou classique,La baie des cochons,Clément Lemoine,,Bruxelles,07/09/2024,spirou_classique_la_baie_des_cochons.jpg
Spirou classique,La baie des cochons,Michaël Baril,,Bruxelles,07/09/2024,spirou_classique_la_baie_des_cochons.jpg
Spirou classique,Le trésor de San Inferno,Lewis Trondheim,Tampon + dessin,Bruxelles,27/09/2025,spirou_classique_le_tresor_de_san_inferno.jpg
Spirou et Fantasio,L'ankou,Fournier,,Lyz-les-Lannoy,11/11/2017,spirou_et_fantasio_tome_27.jpg
Spirou et Fantasio,L'homme qui ne voulait pas mourir,Munuera,,Bruxelles,10/09/2022,spirou_et_fantasio_tome_48.jpg
Spirou et Fantasio,La mort de Spirou,Benjamin Abittan,Tampon Spirou + signature après un échange de 5-10 minutes sur ce que j'aimais dans la série et d'autres choses,Bruxelles,10/09/2022,spirou_et_fantasio_tome_56.jpg
Spirou et Fantasio,La mort de Spirou,Olivier Schwartz,Signature de Schwartz à une conférence,Bruxelles,10/09/2022,spirou_et_fantasio_tome_56.jpg
Spirou et Fantasio,Tora-Torapa,Fournier,,Lyz-les-Lannoy,13/11/2022,spirou_et_fantasio_tome_23.jpg
Spirou et Fantasio,La vallée des bannis,Janry,,Valenciennes,20/11/2022,spirou_et_fantasio_tome_41.jpg
Spirou et Fantasio,Lune Fatale,Dan Verlinden,Signature,Fort-Mardyck,05/04/2025,spirou_et_fantasio_tome_45.jpg
Valérian et Laureline,Là où naissent les histoires,Virginie Augustin,,Bruxelles,10/09/2022,valerian_et_laureline_la_ou_naissent_les_histoires.jpg
Walter Appleduck,Cow-boy stagiaire,Fabrice Erre,Dédicace cross-over entre les Fabrices de l'édito de Spirou (Fabrice Erre et Fabcaro) et Walter Appleduck.,Bruxelles,10/09/2022,walter_appleduck_tome_1.jpg
Walter Appleduck,Un cow-boy dans la ville,Fabrice Erre,,Valenciennes,18/11/2023,walter_appleduck_tome_2.jpg
Z comme Don Diego,Intégrale,Fabrice Erre,,Valenciennes,18/11/2023,z_comme_don_diego.jpg
Zorglub,La fille du Z,Munuera,,Lille,18/06/2025,zorglub_tome_1.jpg
Gaston,La galerie des gaffes,Bertschy,,Bruxelles,27/09/2025,gaston_0.jpg
Gaston,La galerie des gaffes,Benoît Feroumont,,Bruxelles,27/09/2025,gaston_1.jpg
Gaston,La galerie des gaffes,Jean-Paul Krassinsky,,Lille,04/10/2025,gaston_2.jpg
Jacques Gipar,Le trésor de Noirmoutier,Jean-Luc Delvaux,Cadeau pour Anselme,Bruxelles,27/09/2025,gipar_le_tresor_de_noirmoutier.jpg
L'homme qui pouvait accomplir des miracles,,Munuera,,Bruxelles,27/09/2025,l_homme_qui_pouvait_accomplir_des_miracles.jpg
Nelson,Merguez orbitale,Bertschy,,Bruxelles,27/09/2025,nelson_tome_27.jpg
Frnck,Le début du commencement,Olivier Bocquet,Signature + tampon + empreinte,Bruxelles,27/09/2025,frnck_tome_1.jpg
Lapinot,L'Accélérateur atomique,Lewis Trondheim,Couleurs de Brigitte Findakly,Bruxelles,27/09/2025,lapinot_tome_9.jpg
Belfort et Lupin,SOS Carpe Diem,Justine Cunha,Cadeau pour Chloé,Bruxelles,27/09/2025,belfort_lupin_tome_1.jpg
Tokyo Mystery Céfa,La disparue d'Akiba,Atelier Sentô,Cécile Brun : dessin & Olivier Pichard : couleurs,Bruxelles,27/09/2025,tokyo_mystery_cafe_tome_1.jpg
Lastman,Tome 1,Michaël Sanlaville,,Lille,04/10/2025,lastman_tome_1.jpg
San Antonio,Si ma tante en avait,Michaël Sanlaville,,Lille,04/10/2025,san_antonio_tome_2.jpg
Han Solo et Chewbacca,Tome 1,David Messina,,Lille,04/10/2025,han_solo_tome_1.jpg
Donjon monsters,Tome 13,David B,,Lille,04/10/2025,donjon_monsters_tome_13.jpg
